unitID,name,abbreviation,factor,offset,category
132,Femtosecond,fs,0.000000000000001,0.0,18
133,Newton Meter,Nm,1.0,0.0,19
134,Meter Kilogram,m kg,0.101971621,0.0,19
135,Foot Pound Force,ft lbf,1.3358179483,0.0,19
136,Inch Pound Force,in lbf,0.112984829,0.0,19
137,Millivolt,mV,0.001,0.0,20
138,Volt,V,1.0,0.0,20
139,Kilovolt,kV,1000.0,0.0,20
140,Megavolt,MV,1000000.0,0.0,20
141,Cubic Millimeter,mm\u00B3,0.000000001,0.0,21
142,Milliliter,ml,0.000001,0.0,21
143,Liter,l,0.001,0.0,21
144,Cubic Meter,m\u00B3,1.0,0.0,21
145,Gallon,gal,0.0037854118,0.0,21
146,Cubic Foot,ft\u00B3,0.0283168466,0.0,21
147,Cubic Inch,in\u00B3,0.0000163871,0.0,21
148,Milliwatt,mW,0.001,0.0,22
149,Watt,W,1.0,0.0,22
150,Kilowatt,kW,1000.0,0.0,22
151,Megawatt,MW,1000000.0,0.0,22
152,Gigawatt,GW,1000000000.0,0.0,22
153,Horsepower,hp,735.49875,0.0,22
154,Joule per Second,J/s,1.0,0.0,22
